#BLACKandWHITEAnimationBankIds			Status : Normal	2/1/2001 13:28

#Comments are courtesy of herolich1	
					
			 		
DETAIL_MESH_TYPES	Value				
MSH_B_EGPT_3	108
MSH_B_EGPT_4	109
MSH_B_EGPT_5	110
MSH_B_EGPT_5_A	111
MSH_B_EGPT_BARREL	112
MSH_B_EGPT_CART	113
MSH_B_EGPT_CRECHE	114
MSH_B_EGPT_GRAVEYARD	115
MSH_B_EGPT_NEEDLE	116
MSH_B_EGPT_POT_A	117
MSH_B_EGPT_POT_B	118
MSH_B_EGPT_TOTEM	119
MSH_B_EGPT_WELL	120
MSH_B_EGPT_WINDMILL	121
MSH_B_EGPT_WONDER	122
MSH_B_EGPT_WORKSHOP	123
MSH_B_GREK_1	124
MSH_B_GREK_2	125
MSH_B_GREK_2_A	126
MSH_B_GREK_3	127
MSH_B_GREK_4	128
MSH_B_GREK_5	129
MSH_B_GREK_5A	130
MSH_B_GREK_CRECHE	131
MSH_B_GREK_GRAVEYARD	132
MSH_B_GREK_SAIL	133
MSH_B_GREK_STATUE	134
MSH_B_GREK_TOTEM	135
MSH_B_GREK_WONDER	136
MSH_B_GREK_WORKSHOP	137
MSH_B_JAPN_1	138
MSH_B_JAPN_2	139
MSH_B_JAPN_3	140
MSH_B_JAPN_4	141
MSH_B_JAPN_5	142
MSH_B_JAPN_CRECHE	143
MSH_B_JAPN_GRAVEYARD	144
MSH_B_JAPN_TOTEM	145
MSH_B_JAPN_WONDER	146
MSH_B_JAPN_WORKSHOP	147
MSH_B_CAMPFIRE	148
MSH_B_CREATURE_PEN_LEASH_POLE	149
MSH_B_FOOTBALL_CENTRECIRCLE	150
MSH_B_FOOTBALL_CORNERFLAG	151
MSH_B_FOOTBALL_GOAL	152
MSH_B_FOOTBALL_PITCH	153
MSH_B_FOOTBALL_PITCH_BIG	154
MSH_B_MINE_ENTRANCE	155
MSH_B_PIER	156
MSH_B_SCAFFOLD_01	157
MSH_B_SCAFFOLD_02	158
MSH_B_SCAFFOLD_03	159
MSH_B_XANDO_BASE	160
MSH_B_XANDO_O	161
MSH_B_XANDO_X	162
MSH_PIPER_ENTRANCE_PHYS_1	163
MSH_B_AMCN_VILLAGECENTRE	164
MSH_B_AZTC_VILLAGECENTRE	165
MSH_B_CELT_VILLAGECENTRE	166
MSH_B_DESIRE_FLAG_ABODE	167
MSH_B_DESIRE_FLAG_CHILDREN	168
MSH_B_DESIRE_FLAG_CIVIC_BUILDING	169
MSH_B_DESIRE_FLAG_FOOD	170
MSH_B_DESIRE_FLAG_PLAYTIME	171
MSH_B_DESIRE_FLAG_PROTECTION	172
MSH_B_DESIRE_FLAG_RAIN	173
MSH_B_DESIRE_FLAG_SUN	174
MSH_B_DESIRE_FLAG_WOOD	175
MSH_B_EGPT_VILLAGECENTRE	176
MSH_B_GREK_VILLAGECENTRE	177
MSH_B_JAPN_VILLAGECENTRE	178
MSH_B_NORS_VILLAGECENTRE	179
MSH_B_PLAYER_ICON01	180
MSH_B_PLAYER_ICON01_PLINTH	181
MSH_B_PLAYER_ICON_APE	182
MSH_B_PLAYER_ICON_BEAR	183
MSH_B_PLAYER_ICON_COW	184
MSH_B_PLAYER_ICON_HORSE	185
MSH_B_PLAYER_ICON_LEOPARD	186
MSH_B_PLAYER_ICON_LION	187
MSH_B_PLAYER_ICON_PLINTH_AMCN	188
MSH_B_PLAYER_ICON_PLINTH_AZTC	189
MSH_B_PLAYER_ICON_PLINTH_CELT	190
MSH_B_PLAYER_ICON_PLINTH_EGPT	191
MSH_B_PLAYER_ICON_PLINTH_GREK	192
MSH_B_PLAYER_ICON_PLINTH_JAPN	193
MSH_B_PLAYER_ICON_PLINTH_NORS	194
MSH_B_PLAYER_ICON_PLINTH_TIBT	195
MSH_B_PLAYER_ICON_POLARBEAR	196
MSH_B_PLAYER_ICON_SHEEP	197
MSH_B_PLAYER_ICON_TIGER	198
MSH_B_PLAYER_ICON_TORTOISE	199
MSH_B_PLAYER_ICON_WOLF	200
MSH_B_PLAYER_ICON_ZEBRA	201
MSH_B_TIBT_VILLAGECENTRE	202
MSH_B_VILLAGECENTRE_SPELLHAND	203
MSH_B_NORS_1	204
MSH_B_NORS_2	205
MSH_B_NORS_2_A	206
MSH_B_NORS_3	207
MSH_B_NORS_3_A	208
MSH_B_NORS_4	209
MSH_B_NORS_5	210
MSH_B_NORS_CRECHE	211
MSH_B_NORS_GATE	212
MSH_B_NORS_GRAVEYARD	213
MSH_B_NORS_PIGPEN	214
MSH_B_NORS_TEMPLE	215
MSH_B_NORS_TOTEM	216
MSH_B_NORS_WONDER	217
MSH_B_NORS_WORKSHOP	218
MSH_NORS_GATE_PHYS_1	219
MSH_NORS_GATE_PHYS_2	220
MSH_B_AMCN_STORAGE_PIT	221
MSH_B_AZTC_STORAGE_PIT	222
MSH_B_CELT_STORAGE_PIT	223
MSH_B_EGPT_STORAGE_PIT	224
MSH_B_GRAIN	225
MSH_B_GREK_STORAGE_PIT	226
MSH_B_JAPN_STORAGE_PIT	227
MSH_B_NORS_STORAGE_PIT	228
MSH_B_TIBT_STORAGE_PIT	229
MSH_B_WOOD_00	230
MSH_B_WOOD_01	231
MSH_B_WOOD_02	232
MSH_B_WOOD_03	233
MSH_B_WOOD_04	234
MSH_B_WOOD_OUTSIDE	235
MSH_B_TIBT_1	236
MSH_B_TIBT_2	237
MSH_B_TIBT_3	238
MSH_B_TIBT_3_A	239
MSH_B_TIBT_4	240
MSH_B_TIBT_5	241
MSH_B_TIBT_5_A	242
MSH_B_TIBT_CRECHE	243
MSH_B_TIBT_GRAVEYARD	244
MSH_B_TIBT_LARGE_PILLER	245
MSH_B_TIBT_MINI_TEMPLE	246
MSH_B_TIBT_TOTEM	247
MSH_B_TIBT_WONDER	248
MSH_B_TIBT_WORKSHOP	249
MSH_B_SPELLHAND	250
MSH_B_WORSHIPGRAIN	251
MSH_B_WORSHIPSITE_01_NEUTRAL	252
MSH_BOULDER1_CHALK	253
MSH_BOULDER1_LIME	254
MSH_BOULDER1_SAND	255
MSH_BOULDER1_VOLCANIC	256
MSH_BOULDER2_CHALK	257
MSH_BOULDER2_LIME	258
MSH_BOULDER2_SAND	259
MSH_BOULDER2_VOLCANIC	260
MSH_BOULDER3_CHALK	261
MSH_BOULDER3_LIME	262
MSH_BOULDER3_SAND	263
MSH_BOULDER3_VOLCANIC	264
MSH_FAT_PILAR_CHALK	265
MSH_FAT_PILAR_LIME	266
MSH_FAT_PILAR_SAND	267
MSH_FAT_PILAR_VOLCANIC	268
MSH_F_CREATURE_CAVE	269
MSH_F_FOREST	270
MSH_F_FOREST01	271
MSH_F_FOREST02	272
MSH_F_FOREST03	273
MSH_F_FOREST_BOOK01	274
MSH_F_GIANTSKELETON	275
MSH_F_GIANTSKULL	276
MSH_F_IDOL	277
MSH_F_PIPER_CAVE	278
MSH_F_RIB1	279
MSH_F_RIB2	280
MSH_F_SPOUTHOLE	281
MSH_F_VERTABRAE	282
MSH_PILAR2_CHALK	283
MSH_PILAR2_LIME	284
MSH_PILAR2_SAND	285
MSH_PILAR2_VOLCANIC	286
MSH_PILAR3_CHALK	287
MSH_PILAR3_LIME	288
MSH_PILAR3_SAND	289
MSH_PILAR3_VOLCANIC	290
MSH_PILAR_CHALK	291
MSH_PILAR_LIME	292
MSH_PILAR_SAND	293
MSH_PILAR_VOLCANIC	294
MSH_PUZZLE_1	295
MSH_PUZZLE_2	296
MSH_PUZZLE_3	297
MSH_PUZZLE_4	298
MSH_PUZZLE_5	299
MSH_SPIKEY_PILAR_CHALK	300
MSH_SPIKEY_PILAR_LIME	301
MSH_SPIKEY_PILAR_SAND	302
MSH_SPIKEY_PILAR_VOLCANIC	303
MSH_Z_PHONEBOX	304
MSH_I_BLAST	305
MSH_I_FIREBALL	306
MSH_I_FOOD	307
MSH_I_FOOTBALL	308
MSH_I_FOREST	309
MSH_I_HEAL	310
MSH_I_LIGHTNING	311
MSH_I_LIGHTNING2	312
MSH_I_MINISCROLL	313
MSH_I_MINISCROLL_ACTIVE	314
MSH_I_MINISCROLL_BRONZE	315
MSH_I_MINISCROLL_BRONZE_ACTIVE	316
MSH_I_MINISCROLL_GOLD	317
MSH_I_MINISCROLL_GOLD_ACTIVE	318
MSH_I_MINISCROLL_SILVER	319
MSH_I_MINISCROLL_SILVER_ACTIVE	320
MSH_I_OFFERING_BEDROLL	321
MSH_I_OFFERING_FERTILITY	322
MSH_I_OFFERING_FOOD	323
MSH_I_OFFERING_PLAY	324
MSH_I_OFFERING_PROTECTION	325
MSH_I_OFFERING_SKULL	326
MSH_I_OFFERING_VILLAGE_IMPROVE	327
MSH_I_OFFERING_WATER	328
MSH_I_OFFERING_WOOD	329
MSH_I_PRIEST	330
MSH_I_SHIELD	331
MSH_I_SKELETON	332
MSH_I_SPELLGEM	333
MSH_I_TREES	334
MSH_I_WALL	335
MSH_GATE_TOTEM_PLINTHE_PHYS_1	336
MSH_GATE_TOTEM_PLINTHE_PHYS_2	337
MSH_GATE_TOTEM_PLINTHE_PHYS_3	338
MSH_O_ARK	339
MSH_O_ARK_DRY_DOCK	340
MSH_O_ARK_WRECK	341
MSH_O_AXE	342
MSH_O_BAG	343
MSH_O_BALL	344
MSH_O_BELLTOWER	345
MSH_O_BOX_FRAME	346
MSH_O_BRANCH_EVERGREEN_INHAND	347
MSH_O_BRANCH_FRUIT_INHAND	348
MSH_O_BRANCH_HARDWOOD_INHAND	349
MSH_O_BURNT_TREE	350
MSH_O_CAULDRON	351
MSH_O_CHAMPI	352
MSH_O_CREATURE_TURD	353
MSH_O_CROOK	354
MSH_O_FISHINGROD	355
MSH_O_FLATROCK_CHALK	356
MSH_O_FLATROCK_LIMESTONE	357
MSH_O_FLATROCK_SANDSTONE	358
MSH_O_FLATROCK_VOLCANIC	359
MSH_O_FLOWER_BED_1	360
MSH_O_FLOWER_BED_2	361
MSH_O_GATE_TOTEM_APE	362
MSH_O_GATE_TOTEM_BLANK	363
MSH_O_GATE_TOTEM_COW	364
MSH_O_GATE_TOTEM_PLINTHE	365
MSH_O_GATE_TOTEM_TIGER	366
MSH_O_HAMMER	367
MSH_O_INFO_SIGN	368
MSH_O_JAPN_STONETHING	369
MSH_O_LARGE_FISH_DEAD	370
MSH_O_LIGHT_BULB	371
MSH_O_LOGS_INHAND	372
MSH_O_LONGROCK_CHALK	373
MSH_O_LONGROCK_LIMESTONE	374
MSH_O_LONGROCK_SANDSTONE	375
MSH_O_LONGROCK_VOLCANIC	376
MSH_O_MAGIC_MUSHROOM	377
MSH_O_MALLET_HEAVY	378
MSH_O_ROCK_CHALK	379
MSH_O_ROCK_LIMESTONE	380
MSH_O_ROCK_SANDSTONE	381
MSH_O_ROCK_VOLCANIC	382
MSH_O_SAW	383
MSH_O_SCYTHE	384
MSH_O_SHARPROCK_CHALK	385
MSH_O_SHARPROCK_LIMESTONE	386
MSH_O_SHARPROCK_SANDSTONE	387
MSH_O_SHARPROCK_VOLCANIC	388
MSH_O_SKULL_TOTEM	389
MSH_O_SPADE	390
MSH_O_SQUAREROCK_CHALK	391
MSH_O_SQUAREROCK_LIMESTONE	392
MSH_O_SQUAREROCK_SANDSTONE	393
MSH_O_SQUAREROCK_VOLCANIC	394
MSH_O_TICKERTAPE	395
MSH_O_TOADSTOOL	396
MSH_O_TOMBSTONE	397
MSH_O_TOWNLIGHT	398
MSH_O_TOY_BALL	399
MSH_O_TOY_BOWLING_BALL	400
MSH_O_TOY_CUDDLY	401
MSH_O_TOY_DIE	402
MSH_O_TOY_SKITTLE	403
MSH_O_WHEAT_ENCLOSURE	404
MSH_O_WHEAT_INHAND	405
MSH_O_WOOD_INHAND	406
MSH_REWARD_CHEST_EXPLODE	407
MSH_SCULPTURE_IN_PROGRESS	408
MSH_SINGING_STONE_CENTER	409
MSH_SINGING_STONE	410
MSH_IDOL_BUILDER	411
MSH_NEW_SHAOLIN	412
MSH_P_AMCN_F_A_1	413
MSH_P_AMCN_F_A_2	414
MSH_P_AMCN_F_A_3	415
MSH_P_AMCN_M_A_1	416
MSH_P_AMCN_M_A_2	417
MSH_P_AMCN_M_A_3	418
MSH_P_ANIMAL_BREEDER	419
MSH_P_ANIMAL_TRAINER	420
MSH_P_AZTC_F_A_1	421
MSH_P_AZTC_F_A_2	422
MSH_P_AZTC_F_A_3	423
MSH_P_AZTC_LEADER	424
MSH_P_AZTC_M_A_1	425
MSH_P_AZTC_M_A_2	426
MSH_P_AZTC_M_A_3	427
MSH_P_BANDIT	428
MSH_P_BOY_BLACK_1	429
MSH_P_BOY_BLACK_2	430
MSH_P_BOY_BLACK_3	431
MSH_P_BOY_ORIENTAL_1	432
MSH_P_BOY_ORIENTAL_2	433
MSH_P_BOY_ORIENTAL_3	434
MSH_P_BOY_TAN_1	435
MSH_P_BOY_TAN_2	436
MSH_P_BOY_TAN_3	437
MSH_P_BOY_WHITE	438
MSH_P_BOY_WHITE_1	439
MSH_P_BOY_WHITE_2	440
MSH_P_BOY_WHITE_3	441
MSH_P_CELT_FOOTBALLER	442
MSH_P_CELT_F_A_1	443
MSH_P_CELT_F_A_2	444
MSH_P_CELT_F_A_3	445
MSH_P_CELT_M_A_1	446
MSH_P_CELT_M_A_2	447
MSH_P_CELT_M_A_3	448
MSH_P_CRUSADER	449
MSH_P_CULT_PRIEST	450
MSH_P_CULT_PRIESTESS	451
MSH_P_EGPT_F_A_1	452
MSH_P_EGPT_F_A_2	453
MSH_P_EGPT_F_A_3	454
MSH_P_EGPT_M_A_1	455
MSH_P_EGPT_M_A_2	456
MSH_P_EGPT_M_A_3	457
MSH_P_EGPT_M_B_1	458
MSH_P_EGPT_M_B_2	459
MSH_P_ENGINEER	460
MSH_P_GIRL_BLACK_1	461
MSH_P_GIRL_BLACK_2	462
MSH_P_GIRL_BLACK_3	463
MSH_P_GIRL_ORIENTAL_1	464
MSH_P_GIRL_ORIENTAL_2	465
MSH_P_GIRL_ORIENTAL_3	466
MSH_P_GIRL_TAN_1	467
MSH_P_GIRL_TAN_2	468
MSH_P_GIRL_TAN_3	469
MSH_P_GIRL_WHITE	470
MSH_P_GIRL_WHITE_1	471
MSH_P_GIRL_WHITE_2	472
MSH_P_GIRL_WHITE_3	473
MSH_P_GREK_F_A_1	474
MSH_P_GREK_F_A_2	475
MSH_P_GREK_F_A_3	476
MSH_P_GREK_M_A_1	477
MSH_P_GREK_M_A_2	478
MSH_P_GREK_M_A_3	479
MSH_P_HERMIT	480
MSH_P_HIPPY	481
MSH_P_IDOL_BUILDER	482
MSH_P_INTRO_F	483
MSH_P_INTRO_M	484
MSH_P_JAPANESE_F_A_2	485
MSH_P_JAPANESE_F_A_3	486
MSH_P_JAPANESE_M_A_1	487
MSH_P_JAPANESE_M_A_2	488
MSH_P_JAPANESE_M_A_3	489
MSH_P_JAPN_F_A_1	490
MSH_P_JAPN_F_A_2	491
MSH_P_JAPN_F_A_3	492
MSH_P_JAPN_M_A_1	493
MSH_P_JAPN_M_A_2	494
MSH_P_JAPN_M_A_3	495
MSH_P_NOMAD	496
MSH_P_NORS_FOOTBALLER	497
MSH_P_NORS_F_A_1	498
MSH_P_NORS_F_A_2	499
MSH_P_NORS_F_A_3	500
MSH_P_NORS_M_A_1	501
MSH_P_NORS_M_A_2	502
MSH_P_NORS_M_A_3	503
MSH_P_NORS_SAILOR	504
MSH_P_PIED_PIPER	505
MSH_P_SAILOR_ACCORDIAN	506
MSH_P_SCULPTOR	507
MSH_P_SHAOLIN_MONK	508
MSH_P_SHEPERD	509
MSH_P_SKELETON_F	510
MSH_P_SKELETON_M	511
MSH_P_TIBETAN_F_A_2	512
MSH_P_TIBETAN_F_A_3	513
MSH_P_TIBETAN_M_A_1	514
MSH_P_TIBETAN_M_A_2	515
MSH_P_TIBETAN_M_A_3	516
MSH_P_TIBT_F_A_1	517
MSH_P_TIBT_F_A_2	518
MSH_P_TIBT_F_A_3	519
MSH_P_TIBT_M_A_1	520
MSH_P_TIBT_M_A_2	521
MSH_P_TIBT_M_A_3	522
MSH_P_TIBT_M_B_1	523
MSH_P_TIBT_M_B_2	524
MSH_CREED	525
MSH_S_BLAST_CONE	526
MSH_S_BLAST_CENTRE	527
MSH_S_BLAST_INNER	528
MSH_S_BLAST_OUTER	529
MSH_S_COLUMN	530
MSH_S_FIREBALL_TAIL	531
MSH_S_HEAL_MESH	532
MSH_S_GRAIN_PILE	533
MSH_S_HORN_OF_PLENTY	534
MSH_S_PHILE	535
MSH_S_PHILE_ANGRY	536
MSH_S_PHILE_BIG	537
MSH_S_PHILE_FAT	538
MSH_S_PHILE_FREEZE	539
MSH_S_PHILE_FRIGHTEN	540
MSH_S_PHILE_HUNGRY	541
MSH_S_PHILE_ILL	542
MSH_S_PHILE_INVISIBLE	543
MSH_S_PHILE_ITCHY	544
MSH_S_PHILE_LOVE	545
MSH_S_PHILE_SMALL	546
MSH_S_PHILE_STRONG	547
MSH_S_PHILE_THIN	548
MSH_S_PHILE_THIRSTY	549
MSH_S_PHILE_TIRED	550
MSH_S_PHILE_WEAK	551
MSH_S_RAIN_CONE	552
MSH_S_SHIELDMAGICLOWPOLY	553
MSH_S_SOLID_SHIELD	554
MSH_S_SPELLBALLSURFACE02	555
MSH_S_SKULL_ICON	556
MSH_S_SPELL_CREATOR	557
MSH_S_SPELL_DISPENSER	558
MSH_S_VORTEXCYLINDER	559
MSH_S_ZCHEATBOX	560
MSH_S_PULSE_IN	561
MSH_S_PULSE_OUT	562
MSH_A_WORM	563
MSH_B_DUMMY_CITADEL	564
MSH_Z_APPLE_BARREL	565
MSH_Z_ARROW	566
MSH_Z_SPELLROCK01	567
MSH_Z_SPELLROCK02	568
MSH_T_COPSE	569
MSH_T_COPSE_A	570
MSH_T_BEECH	571
MSH_T_BIRCH	572
MSH_T_BUSH	573
MSH_T_BUSH_A	574
MSH_T_BUSH_B	575
MSH_T_CEDAR	576
MSH_T_CONIFER	577
MSH_T_CONIFER_A	578
MSH_T_CYPRESS	579
MSH_T_CYPRESS_A	580
MSH_T_HEDGE	581
MSH_T_HEDGE_A	582
MSH_T_OAK	583
MSH_T_OAK_A	584
MSH_T_OLIVE	585
MSH_T_PALM	586
MSH_T_PALM_A	587
MSH_T_PALM_B	588
MSH_T_PALM_C	589
MSH_T_PINE	590
MSH_T_RICE	591
MSH_T_ROOTS	592
MSH_T_ROOTS_PILE	593
MSH_T_WHEAT	594
MSH_T_WHEAT_INFIELD	595
MSH_U_AXE	596
MSH_U_BAG	597
MSH_U_BALL	598
MSH_U_BENCH	599
MSH_U_BUCKET	600
MSH_U_BUCKET02	601
MSH_U_CART	602
MSH_U_CHEST	603
MSH_U_CHEST_TOP	604
MSH_U_CROOK	605
MSH_U_FISHING_ROD	606
MSH_U_FRAME	607
MSH_U_FRAME_SKIN	608
MSH_U_HAMMER	609
MSH_U_MALLET_HEAVY	610
MSH_U_SAW	611
MSH_U_SCYTHE	612
MSH_U_SPADE	613
MSH_U_STOOL	614
MSH_U_STOOL01	615
MSH_U_TABLE	616
MSH_U_TROUGH	617
MSH_U_WASHING_LINE_AMCN	618
MSH_U_WASHING_LINE_AZTC	619
MSH_U_WASHING_LINE_CELT	620
MSH_U_WASHING_LINE_EGPT	621
MSH_U_WASHING_LINE_GREK	622
MSH_U_WASHING_LINE_JAPN	623
MSH_U_WASHING_LINE_NORS	624
MSH_U_WASHING_LINE_TIBT	625
	
	
	
DETAIL_ANIM_TYPES	Value
ANM_DONT_DRAW	-4
ANM_NO_MOVE_ANIM_SET	-3
ANM_NO_ANIM_SET	-2
ANM_INVALID	-1
ANM_BAT_ERATICGLIDE	0
ANM_BAT_FLAP	1
ANM_BAT_GLIDE	2
ANM_CROW_FLAP	3
ANM_CROW_GLIDE	4
ANM_CROW_LANDING	5
ANM_CROW_SIT	6
ANM_CROW_TAKEOFF	7
ANM_DOVE_FLAP	8
ANM_DOVE_GLIDE	9
ANM_DOVE_LANDING	10
ANM_DOVE_SIT	11
ANM_DOVE_TAKEOFF	12
ANM_PIGEON_FLAP	13
ANM_PIGEON_GLIDE	14
ANM_PIGEON_LANDING	15
ANM_PIGEON_SIT	16
ANM_PIGEON_TAKEOFF	17
ANM_SEAGULL_FLAP	18
ANM_SEAGULL_GENTLEFLAP	19
ANM_SEAGULL_GLIDE	20
ANM_SEAGULL_LANDING	21
ANM_SEAGULL_TAKEOFF	22
ANM_SPELL_DOVE_FLAP	23
ANM_SPELL_DOVE_GLIDE	24
ANM_SWALLOW_CALMGLIDE	25
ANM_SWALLOW_ERATICGLIDE	26
ANM_SWALLOW_FLAP	27
ANM_A_COW_DEAD	28
ANM_A_COW_DEAD_ON_LHS	29
ANM_A_COW_DEAD_ON_RHS	30
ANM_A_COW_DIE	31
ANM_A_COW_DOWNED_ON_LHS	32
ANM_A_COW_DOWNED_ON_RHS	33
ANM_A_COW_DROWNING	34
ANM_A_COW_EAT_1	35
ANM_A_COW_EAT_2	36
ANM_A_COW_GOTO_EAT	37
ANM_A_COW_IN_HAND	38
ANM_A_COW_LANDED_LEFT_SIDE	39
ANM_A_COW_LANDED_RIGHT_SIDE	40
ANM_A_COW_RUN	41
ANM_A_COW_STAND	42
ANM_A_COW_THROWN	43
ANM_A_COW_UPFROM_EAT	44
ANM_A_COW_WALK	45
ANM_A_HORSE_DEADLHS	46
ANM_A_HORSE_DEADRHS	47
ANM_A_HORSE_EAT1	48
ANM_A_HORSE_EAT2	49
ANM_A_HORSE_FALL_DEADLHS	50
ANM_A_HORSE_FALL_DEADRHS	51
ANM_A_HORSE_GOTO_EAT	52
ANM_A_HORSE_IN_HAND	53
ANM_A_HORSE_LAND_GET_UPLHS	54
ANM_A_HORSE_LAND_GET_UPRHS	55
ANM_A_HORSE_RUN	56
ANM_A_HORSE_STAND	57
ANM_A_HORSE_THROWN	58
ANM_A_HORSE_TROT	59
ANM_A_HORSE_UP_FROM_EAT	60
ANM_A_HORSE_WALK	61
ANM_A_LEOPARD_DEAD	62
ANM_A_LEOPARD_DEAD_ON_LEFT	63
ANM_A_LEOPARD_DEAD_ON_RIGHT	64
ANM_A_LEOPARD_DIE	65
ANM_A_LEOPARD_EAT	66
ANM_A_LEOPARD_GET_UP_FROM_LEFT	67
ANM_A_LEOPARD_GET_UP_FROM_RIGHT	68
ANM_A_LEOPARD_GOTO_EAT	69
ANM_A_LEOPARD_GOTO_SIT	70
ANM_A_LEOPARD_GOTO_SLEEP	71
ANM_A_LEOPARD_IN_HAND	72
ANM_A_LEOPARD_POUNCE	73
ANM_A_LEOPARD_POUNCE_HI	74
ANM_A_LEOPARD_POUNCE_LO	75
ANM_A_LEOPARD_PROWL	76
ANM_A_LEOPARD_RUN	77
ANM_A_LEOPARD_SIT	78
ANM_A_LEOPARD_SLEEP	79
ANM_A_LEOPARD_STAND	80
ANM_A_LEOPARD_THROWN	81
ANM_A_LEOPARD_UPFROM_EAT	82
ANM_A_LEOPARD_UPFROM_SIT	83
ANM_A_LEOPARD_UPFROM_SLEEP	84
ANM_A_LEOPARD_WALK	85
ANM_A_LION_DEAD	86
ANM_A_LION_DEAD_ON_LEFT	87
ANM_A_LION_DEAD_ON_RIGHT	88
ANM_A_LION_DIE	89
ANM_A_LION_DOWNED_ON_LHS	90
ANM_A_LION_DOWNED_ON_RHS	91
ANM_A_LION_EAT	92
ANM_A_LION_GET_UP_FROM_LEFT	93
ANM_A_LION_GET_UP_FROM_RIGHT	94
ANM_A_LION_GOTO_EAT	95
ANM_A_LION_GOTO_SIT	96
ANM_A_LION_GOTO_SLEEP	97
ANM_A_LION_IN_HAND	98
ANM_A_LION_POUNCE	99
ANM_A_LION_POUNCE_HI	100
ANM_A_LION_POUNCE_LO	101
ANM_A_LION_PROWL	102
ANM_A_LION_RUN	103
ANM_A_LION_SIT	104
ANM_A_LION_SLEEP	105
